,description,variety
330,"Spicy, herbal plum and cassis aromas mix in notes of olive and wet dog fur. This is more spunky and fresh than dense. Leafy berry, plum and olive are the key flavors on this Carmenère-led blend that finishes herbal and spicy, with high-toned residual acidity.",Red Blend
331,"A dusting of crushed slate and saffron accents this zesty lime and honey kissed Kabinett. It's dancingly light on the palate, but concentrated with swirls of marmalade and orange-peel flavors that extend through a long finish. Drink now through 2025.",Riesling
332,"Smoke and oak pronounce themselves vigorously on the nose and entry of this 100% varietal wine, which holds on with a tight grip. Black fruit dominates with leather, chocolate and tobacco playing secondary roles. The finish is lengthy and powerful.",Cabernet Sauvignon
333,"From the producer's main ranch and blended with 11% Malbec and 4% Merlot, this classically structured, crisp wine offers notes of thyme, blackberry and tar. Medium bodied on the palate, it finishes in juicy cassis and will stand up to cellaring. Drink now through 2020.",Cabernet Sauvignon
334,"Dried cherry and strawberry notes are marked by a hint of anise on the nose of this lush, velvety Pinot Noir. While delicate in frame, ripe berry and cherry flavors build in concentration on the palate, accentuated by a spray of pomegranate acidity and lingering bramble notes.",Pinot Noir
335,"Brilliantly fresh, this wine is tight with acidity and textured with zingy citrus. Layers of apple and toast are already integrated in this bright wine. It's tangy, lively and likely to be ready to drink from 2017. The wine comes from the highest vineyard in Chassagne.",Chardonnay
336,"This is a spicy, earthy and medium-bodied selection, lengthy and concentrated in cardamom and forest pine. The fruit tends dark and brooding, with a brambly character balanced against the crispness of acidity. The spiciness persists through the finish.",Pinot Noir
337,"Produced from two parcels in Aloxe Corton, this structured wine has red-plum fruitiness that is still masked by a dry tannic coating. It has concentration and good potential. Drink this textured, firm wine from 2018.",Pinot Noir
338,"Damp sagebrush, dark cranberry, buttered black cherries, fresh plucked marjoram and wet stone show on the nose of this bottling. The tip of the sip shows great thyme, bay leaf and anise character, then settles into rich cranberry fruit, all held together by a decent tannic grip. The dark fruit flavors linger deep in the finish.",Pinot Noir
339,"Aromas of scorched earth, game, truffle and mature plum come together in the glass. The ripe palate offers dried blackberry, mature cherry, anise and almond alongside firm, fine-grained tannins. Drink through 2020.",Red Blend
340,"A blend of 85% Sangiovese, 10% Colorino and 5% Canaiolo, this offers pretty aromas of pressed rose, violet, berry, menthol and a whiff of ground cooking spice. The linear palate offers mature black cherry, orange zest, clove, white pepper, licorice and a hint of pipe tobacco alongside firm, fine-grained tannins.",Red Blend
341,"Mostly Sangiovese with 5% Colorino and made by refermenting with partially dried grapes, this wine offers aromas of dried plum, clove, scorched earth and a balsamic note. The concentrated palate offers dried black cherry, raisin, licorice and a note of ground pepper that lead to a firm finish.",Red Blend
342,"Luminous and fresh, this opens with aromas of red berry, violet, chopped herb and a whiff of baking spice. The vibrant, linear palate offers red cherry, strawberry, white pepper and star anise alongside racy acidity and polished tannins. Enjoy through 2018.",Red Blend
343,"Red berry, chopped herb, blue flower and menthol all come together on this elegantly structured red. The juicy, accessible palate offers ripe black cherry, crushed raspberry, licorice and a hint of vanilla alongside round tannins. Drink through 2021.",Red Blend
344,"A dark nose of black tobacco, condensed violets, soy, black pepper, black plum and aromatic wood shows on the nose of this wine from a longtime Paso estate, now owned by the Foley family. The palate offers an intriguing sense of black pepper and dried violets, followed by lavender, thyme, rosemary and elderberry laid across fine-grained but structured tannins.",Cabernet Sauvignon
345,"Unctuous and ripe in caramel and toasty aromas, this is deep golden in color but completely crisp and balanced in the glass. The nose is so overwhelming that the flavors take time to show. Once they do, it's a celebration of green apple and melon enveloped in complex minerality and a supple body.",Chardonnay
346,"The aromas of this Chardonnay are zesty and fresh yet rich, with barrel smoke, caramelized pear and vanilla tones. The integration continues on the palate, with a bit of oak followed by apple, white peach, nectarine and lime zest. It's flavorful and enjoyable now.",Chardonnay
347,"Pure fruitiness with a deliciously tangy texture mark this wine. It has a rich, juicy character with light spice to highlight the green fruits and zesty bitter orange flavor. At the moment, the wine is all fruit and it needs to age to bring out the greater depth. Drink from 2017.",Riesling
348,"Buttered sourdough toast and a slight nuttiness kick off another excellent Chardonnay from the ever-reliable Talley. The palate is greeted with minerality that fades into an apple butter flavor alongside a pinch of cinnamon, culminating in a graceful vanilla finish.",Chardonnay
349,"The wine is crisp, packed with grapefruit flavors and with a tight texture that suggests it could age. A tang and a steely acidity comes in behind the fruit and offers an austere aftertaste. Drink from 2017.",Riesling
350,"A stellar wine at Kiona for decades, this includes 11% Gewürztraminer in the blend, and is finished at 83 g/L residual sugar. The palate impression is more juicy than sweet, with rich fruit flavors of ripe grapefruit, peach and apricot. The balance, acidity, length and texture are spot on.",Riesling
351,"Lightly toasted tobacco, blueberry pie and cedar scents lead the way on this single-vineyard Cab. Fresh blueberry on the palate combines with a great arc of flavors that ends in a chewed cigar finish.",Cabernet Sauvignon
352,"This is the second vintage release for the estate vineyard, which occupies the highest planted portion of Red Mountain. Precise, sharp-edged, high-acid red-fruit flavors of berry and cherry seem stacked vertically, with a strong mineral underpinning. The alcohol is a bit high, but overall the structure holds together and would support further aging; drink now–2022.",Cabernet Sauvignon
353,"Reedy, berry aromas come with a shot of eucalyptus, which is very Chilean. A tight, tannic, dry palate is exact and intense. Flavors of leafy and slightly herbal black fruits are matched by licorice and coffee notes, while the finish is long, dry, snappy and loaded with earthy spice notes and hints of olive and mint. Drink through 2019.",Red Blend
354,"An aromatically vibrant wine with notes of slate, peach, apricot and citrus. It drinks off dry, with exquisitely balanced acidity and a lot of depth and richness to the fruit flavors. Impressive stuff.",Riesling
355,"This blend of 50% Syrah, 23% Petite Sirah, 17% Mourvèdre and 10% Grenache presents a delicious strawberry cake nose, backed up with dried purple flowers and cigar box backbone. On the palate, elegant purple fruits are laced with leather and pepper, finishing with a cleansing tartness.",Red Blend
356,"This is the first vintage for this blend of 75% Cabernet Sauvignon and 25% Sangiovese. Ripe, lush and complex, it offers flavors of plum and cassis, with an appealing texture and moderately gripping tannins. There's life and snap to the finish, and though it's already delicious just two years after the vintage, another year or two of bottle age should see it continue to improve.",Cabernet Sauvignon
357,"This is balanced and elegant in subtle pear, ginger and lemon. A fine food wine, it's ideal for roast chicken in herbes de Provence or ratatouille. Located in the Petaluma Gap and the source of grapes for several wines, Sun Chase was bought in 2013 by Guarachi Family Wines.",Chardonnay
358,"Aromas of crushed plum, asphalt, oak, toast, exotic spice and forest floor lead the nose. The palate delivers black cherry, mocha, licorice and mineral alongside bracing, tightly woven tannins that need time to unwind. Drink 2017–2031.",Red Blend
